TestNumber,Principal,Operation,Resource,Granted,Milliseconds
2432,Principal 0033,Operation 0010,Resource 6033,N,0.0009
2433,Principal 0042,Operation 0007,Resource 8055,Y,0.0019
2434,Principal 0035,Operation 0001,Resource 14730,N,0.0009
2435,Principal 0102,Operation 0002,Resource 9233,N,0.0025
2436,Principal 0143,Operation 0012,Resource 2849,N,0.0012
2437,Principal 0056,Operation 0001,Resource 8397,Y,0.0025
2438,Principal 0042,Operation 0013,Resource 4575,N,0.0009
2439,Principal 0059,Operation 0003,Resource 8566,Y,0.0025
2440,Principal 0104,Operation 0005,Resource 4804,N,0.0028
2441,Principal 0135,Operation 0008,Resource 9950,N,0.0028
2442,Principal 0013,Operation 0004,Resource 8672,Y,0.0016
2443,Principal 0025,Operation 0013,Resource 1660,N,0.0006
2444,Principal 0004,Operation 0002,Resource 10982,N,0.0006
2445,Principal 0036,Operation 0009,Resource 4774,Y,0.0025
2446,Principal 0146,Operation 0006,Resource 3585,N,0.0025
2447,Principal 0041,Operation 0006,Resource 4098,Y,0.0022
2448,Principal 0066,Operation 0001,Resource 7384,Y,0.0022
2449,Principal 0112,Operation 0008,Resource 3627,N,0.0028
2450,Principal 0142,Operation 0012,Resource 7620,N,0.0012
2451,Principal 0124,Operation 0009,Resource 1217,N,0.0025
2452,Principal 0033,Operation 0005,Resource 6787,Y,0.0025
2453,Principal 0048,Operation 0009,Resource 12532,N,0.0006
2454,Principal 0006,Operation 0012,Resource 14869,N,0.0003
2455,Principal 0012,Operation 0005,Resource 13375,N,0.0003
2456,Principal 0124,Operation 0001,Resource 4299,N,0.0025
2457,Principal 0148,Operation 0006,Resource 11168,N,0.0006
2458,Principal 0050,Operation 0006,Resource 13985,N,0.0003
2459,Principal 0008,Operation 0007,Resource 7294,Y,0.0016
2460,Principal 0026,Operation 0005,Resource 10736,N,0.0003
2461,Principal 0051,Operation 0003,Resource 0590,Y,0.0019
2462,Principal 0090,Operation 0003,Resource 8275,Y,0.0028
2463,Principal 0098,Operation 0001,Resource 4089,Y,0.0032
2464,Principal 0130,Operation 0010,Resource 12192,N,0.0003
2465,Principal 0061,Operation 0004,Resource 9406,Y,0.0025
2466,Principal 0043,Operation 0006,Resource 10729,N,0.0003
2467,Principal 0090,Operation 0013,Resource 7430,N,0.0009
2468,Principal 0143,Operation 0014,Resource 6027,N,0.0012
2469,Principal 0114,Operation 0007,Resource 2403,N,0.0028
2470,Principal 0023,Operation 0003,Resource 12965,N,0.0003
2471,Principal 0144,Operation 0003,Resource 3953,N,0.0032
2472,Principal 0018,Operation 0010,Resource 8711,N,0.0012
2473,Principal 0142,Operation 0007,Resource 2442,N,0.0032
2474,Principal 0051,Operation 0003,Resource 0244,Y,0.0022
2475,Principal 0003,Operation 0002,Resource 11467,N,0.0003
2476,Principal 0139,Operation 0013,Resource 2882,N,0.0009
2477,Principal 0046,Operation 0011,Resource 1560,N,0.0012
2478,Principal 0115,Operation 0008,Resource 6199,N,0.0025
2479,Principal 0033,Operation 0006,Resource 3802,Y,0.0016
2480,Principal 0095,Operation 0012,Resource 10376,N,0.0006
2481,Principal 0059,Operation 0008,Resource 12782,N,0.0006
2482,Principal 0061,Operation 0013,Resource 7621,N,0.0009
2483,Principal 0082,Operation 0004,Resource 7981,Y,0.0025
2484,Principal 0007,Operation 0005,Resource 13234,N,0.0006
2485,Principal 0083,Operation 0004,Resource 11152,N,0.0003
2486,Principal 0072,Operation 0014,Resource 12597,N,0.0003
2487,Principal 0095,Operation 0012,Resource 8558,N,0.0009
2488,Principal 0145,Operation 0012,Resource 6069,N,0.0012
2489,Principal 0114,Operation 0003,Resource 8658,N,0.0032
2490,Principal 0127,Operation 0013,Resource 4797,N,0.0012
2491,Principal 0049,Operation 0005,Resource 9561,Y,0.0025
2492,Principal 0071,Operation 0014,Resource 10116,N,0.0006
2493,Principal 0025,Operation 0009,Resource 3320,Y,0.0022
2494,Principal 0039,Operation 0006,Resource 9671,Y,0.0025
2495,Principal 0099,Operation 0004,Resource 6527,Y,0.0035
2496,Principal 0034,Operation 0004,Resource 4649,Y,0.0019
2497,Principal 0100,Operation 0011,Resource 6599,N,0.0009
2498,Principal 0062,Operation 0001,Resource 0112,Y,0.0025
2499,Principal 0019,Operation 0006,Resource 9881,Y,0.0016
2500,Principal 0067,Operation 0010,Resource 10566,N,0.0006
2501,Principal 0139,Operation 0010,Resource 5769,N,0.0009
2502,Principal 0032,Operation 0011,Resource 0234,N,0.0009
2503,Principal 0037,Operation 0002,Resource 4681,Y,0.0022
2504,Principal 0011,Operation 0005,Resource 5034,Y,0.0019
2505,Principal 0093,Operation 0006,Resource 6741,Y,0.0025
2506,Principal 0138,Operation 0005,Resource 8769,N,0.0032
2507,Principal 0145,Operation 0008,Resource 14649,N,0.0006
2508,Principal 0040,Operation 0003,Resource 2369,Y,0.0019
2509,Principal 0132,Operation 0013,Resource 4713,N,0.0009
2510,Principal 0094,Operation 0005,Resource 7877,Y,0.0032
2511,Principal 0003,Operation 0011,Resource 14366,N,0.0006
2512,Principal 0078,Operation 0005,Resource 10248,N,0.0009
2513,Principal 0039,Operation 0007,Resource 8097,Y,0.0022
2514,Principal 0063,Operation 0014,Resource 2056,N,0.0009
2515,Principal 0149,Operation 0009,Resource 6395,N,0.0025
2516,Principal 0016,Operation 0012,Resource 9290,N,0.0009
2517,Principal 0084,Operation 0003,Resource 1731,Y,0.0025
2518,Principal 0012,Operation 0007,Resource 1640,Y,0.0019
2519,Principal 0109,Operation 0010,Resource 7780,N,0.0012
2520,Principal 0034,Operation 0005,Resource 12081,N,0.0003
2521,Principal 0105,Operation 0009,Resource 10974,N,0.0003
2522,Principal 0118,Operation 0001,Resource 8978,N,0.0025
2523,Principal 0057,Operation 0002,Resource 0830,Y,0.0022
2524,Principal 0115,Operation 0010,Resource 12904,N,0.0003
2525,Principal 0007,Operation 0008,Resource 8428,Y,0.0019
2526,Principal 0126,Operation 0004,Resource 8697,N,0.0025
2527,Principal 0110,Operation 0011,Resource 1778,N,0.0012
2528,Principal 0104,Operation 0002,Resource 2317,N,0.0028
2529,Principal 0062,Operation 0014,Resource 3576,N,0.0009
2530,Principal 0127,Operation 0012,Resource 9931,N,0.0006
2531,Principal 0025,Operation 0001,Resource 1731,Y,0.0016
2532,Principal 0110,Operation 0011,Resource 5429,N,0.0012
2533,Principal 0061,Operation 0003,Resource 8208,Y,0.0025
2534,Principal 0124,Operation 0011,Resource 10403,N,0.0003
2535,Principal 0085,Operation 0012,Resource 7946,N,0.0016
2536,Principal 0039,Operation 0001,Resource 13922,N,0.0003
2537,Principal 0082,Operation 0013,Resource 5911,N,0.0009
2538,Principal 0140,Operation 0007,Resource 8353,N,0.0025
2539,Principal 0103,Operation 0001,Resource 8143,N,0.0025
2540,Principal 0087,Operation 0006,Resource 1679,Y,0.0028
2541,Principal 0054,Operation 0008,Resource 4688,Y,0.0022
2542,Principal 0059,Operation 0009,Resource 9483,Y,0.0025
2543,Principal 0111,Operation 0005,Resource 12477,N,0.0006
2544,Principal 0030,Operation 0007,Resource 0877,Y,0.0025
2545,Principal 0005,Operation 0013,Resource 0735,N,0.0009
2546,Principal 0064,Operation 0002,Resource 4203,Y,0.0022
2547,Principal 0094,Operation 0003,Resource 13683,N,0.0003
2548,Principal 0047,Operation 0005,Resource 13513,N,0.0003
2549,Principal 0040,Operation 0004,Resource 8075,Y,0.0025
2550,Principal 0084,Operation 0001,Resource 10673,N,0.0006
2551,Principal 0123,Operation 0012,Resource 12507,N,0.0006
2552,Principal 0065,Operation 0007,Resource 2958,Y,0.0022
2553,Principal 0057,Operation 0003,Resource 2852,Y,0.0022
2554,Principal 0134,Operation 0008,Resource 10782,N,0.0006
2555,Principal 0015,Operation 0005,Resource 6810,Y,0.0019
2556,Principal 0051,Operation 0013,Resource 8871,N,0.0009
2557,Principal 0076,Operation 0004,Resource 13136,N,0.0003
2558,Principal 0040,Operation 0014,Resource 3338,N,0.0016
2559,Principal 0030,Operation 0001,Resource 3425,Y,0.0022
2560,Principal 0062,Operation 0002,Resource 5639,Y,0.0032
2561,Principal 0014,Operation 0003,Resource 3946,Y,0.0019
2562,Principal 0018,Operation 0006,Resource 9089,Y,0.0019
2563,Principal 0034,Operation 0009,Resource 6541,Y,0.0019
2564,Principal 0127,Operation 0001,Resource 14399,N,0.0006
2565,Principal 0014,Operation 0011,Resource 9668,N,0.0009
2566,Principal 0029,Operation 0003,Resource 14302,N,0.0003
2567,Principal 0067,Operation 0014,Resource 4793,N,0.0016
2568,Principal 0142,Operation 0001,Resource 11781,N,0.0006
2569,Principal 0125,Operation 0008,Resource 13136,N,0.0003
2570,Principal 0092,Operation 0004,Resource 6267,Y,0.0025
2571,Principal 0145,Operation 0014,Resource 0685,N,0.0012
2572,Principal 0122,Operation 0012,Resource 4855,N,0.0009
2573,Principal 0068,Operation 0014,Resource 14500,N,0.0006
2574,Principal 0127,Operation 0002,Resource 4632,N,0.0028
2575,Principal 0024,Operation 0010,Resource 3271,N,0.0009
2576,Principal 0137,Operation 0003,Resource 3379,N,0.0028
2577,Principal 0087,Operation 0001,Resource 12540,N,0.0006
2578,Principal 0041,Operation 0014,Resource 2893,N,0.0012
2579,Principal 0009,Operation 0003,Resource 2040,Y,0.0022
2580,Principal 0072,Operation 0004,Resource 12368,N,0.0006
2581,Principal 0109,Operation 0009,Resource 5428,N,0.0025
2582,Principal 0003,Operation 0013,Resource 1118,N,0.0012
2583,Principal 0137,Operation 0004,Resource 13854,N,0.0003
2584,Principal 0048,Operation 0011,Resource 3566,N,0.0009
2585,Principal 0148,Operation 0009,Resource 12320,N,0.0006
2586,Principal 0002,Operation 0012,Resource 5915,N,0.0016
2587,Principal 0085,Operation 0013,Resource 5754,N,0.0012
2588,Principal 0097,Operation 0001,Resource 3439,Y,0.0035
2589,Principal 0087,Operation 0010,Resource 0070,N,0.0012
2590,Principal 0128,Operation 0011,Resource 9849,N,0.0009
2591,Principal 0028,Operation 0014,Resource 10374,N,0.0006
2592,Principal 0022,Operation 0002,Resource 7466,Y,0.0022
2593,Principal 0142,Operation 0002,Resource 11599,N,0.0003
2594,Principal 0022,Operation 0001,Resource 13453,N,0.0003
2595,Principal 0045,Operation 0004,Resource 4030,Y,0.0022
2596,Principal 0090,Operation 0005,Resource 5490,Y,0.0022
2597,Principal 0056,Operation 0001,Resource 5331,Y,0.0019
2598,Principal 0111,Operation 0013,Resource 5469,N,0.0009
2599,Principal 0066,Operation 0002,Resource 8699,Y,0.0022
2600,Principal 0020,Operation 0007,Resource 2833,Y,0.0022
2601,Principal 0011,Operation 0001,Resource 7771,Y,0.0019
2602,Principal 0040,Operation 0002,Resource 11393,N,0.0006
2603,Principal 0082,Operation 0012,Resource 7212,N,0.0012
2604,Principal 0049,Operation 0001,Resource 9817,Y,0.0022
2605,Principal 0093,Operation 0006,Resource 13775,N,0.0006
2606,Principal 0073,Operation 0005,Resource 11643,N,0.0006
2607,Principal 0144,Operation 0014,Resource 6089,N,0.0009
2608,Principal 0096,Operation 0007,Resource 10682,N,0.0003
2609,Principal 0045,Operation 0007,Resource 1017,Y,0.0019
2610,Principal 0049,Operation 0010,Resource 0576,N,0.0012
2611,Principal 0137,Operation 0012,Resource 10509,N,0.0006
2612,Principal 0088,Operation 0002,Resource 14100,N,0.0003
2613,Principal 0057,Operation 0001,Resource 1860,Y,0.0022
2614,Principal 0076,Operation 0001,Resource 6651,Y,0.0025
2615,Principal 0132,Operation 0001,Resource 14726,N,0.0006
2616,Principal 0105,Operation 0002,Resource 7298,N,0.0025
2617,Principal 0067,Operation 0014,Resource 10960,N,0.0003
2618,Principal 0120,Operation 0003,Resource 6795,N,0.0028
2619,Principal 0117,Operation 0007,Resource 8704,N,0.0025
2620,Principal 0121,Operation 0014,Resource 10305,N,0.0003
2621,Principal 0104,Operation 0004,Resource 2153,N,0.0028
2622,Principal 0066,Operation 0006,Resource 3745,Y,0.0022
2623,Principal 0143,Operation 0001,Resource 5252,N,0.0028
2624,Principal 0146,Operation 0002,Resource 4715,N,0.0025
2625,Principal 0098,Operation 0007,Resource 13968,N,0.0006
2626,Principal 0144,Operation 0011,Resource 6501,N,0.0009
2627,Principal 0109,Operation 0009,Resource 4884,N,0.0025
2628,Principal 0087,Operation 0013,Resource 11203,N,0.0003
2629,Principal 0046,Operation 0002,Resource 9633,Y,0.0022
2630,Principal 0037,Operation 0012,Resource 9637,N,0.0009
2631,Principal 0054,Operation 0009,Resource 1033,Y,0.0022
2632,Principal 0066,Operation 0012,Resource 12496,N,0.0006
2633,Principal 0045,Operation 0007,Resource 9630,Y,0.0019
2634,Principal 0110,Operation 0011,Resource 1259,N,0.0012
2635,Principal 0021,Operation 0007,Resource 12695,N,0.0003
2636,Principal 0063,Operation 0003,Resource 10808,N,0.0003
2637,Principal 0078,Operation 0012,Resource 10166,N,0.0006
2638,Principal 0022,Operation 0002,Resource 5481,Y,0.0019
2639,Principal 0054,Operation 0002,Resource 5075,Y,0.0022
2640,Principal 0060,Operation 0002,Resource 4377,Y,0.0022
2641,Principal 0091,Operation 0010,Resource 3527,N,0.0009
2642,Principal 0106,Operation 0009,Resource 8024,N,0.0028
2643,Principal 0037,Operation 0004,Resource 9512,Y,0.0022
2644,Principal 0015,Operation 0010,Resource 4662,N,0.0012
2645,Principal 0118,Operation 0014,Resource 12800,N,0.0003
2646,Principal 0037,Operation 0007,Resource 6194,Y,0.0025
2647,Principal 0135,Operation 0013,Resource 14439,N,0.0003
2648,Principal 0138,Operation 0011,Resource 14717,N,0.0003
2649,Principal 0144,Operation 0003,Resource 7461,N,0.0022
2650,Principal 0105,Operation 0002,Resource 10603,N,0.0003
2651,Principal 0074,Operation 0013,Resource 4619,N,0.0012
2652,Principal 0053,Operation 0002,Resource 0612,Y,0.0022
2653,Principal 0127,Operation 0007,Resource 12738,N,0.0006
2654,Principal 0047,Operation 0003,Resource 14041,N,0.0003
2655,Principal 0013,Operation 0006,Resource 2365,Y,0.0019
2656,Principal 0055,Operation 0005,Resource 1158,Y,0.0025
2657,Principal 0077,Operation 0002,Resource 9985,Y,0.0025
2658,Principal 0138,Operation 0007,Resource 3652,N,0.0028
2659,Principal 0050,Operation 0010,Resource 14705,N,0.0003
2660,Principal 0038,Operation 0011,Resource 6086,N,0.0016
2661,Principal 0006,Operation 0008,Resource 2097,Y,0.0016
2662,Principal 0139,Operation 0009,Resource 11391,N,0.0003
2663,Principal 0001,Operation 0007,Resource 13104,N,0.0003
2664,Principal 0122,Operation 0006,Resource 0241,N,0.0022
2665,Principal 0084,Operation 0009,Resource 10806,N,0.0003
2666,Principal 0004,Operation 0012,Resource 4535,N,0.0009
2667,Principal 0123,Operation 0009,Resource 12861,N,0.0006
2668,Principal 0063,Operation 0003,Resource 14337,N,0.0006
2669,Principal 0007,Operation 0008,Resource 6108,Y,0.0016
2670,Principal 0010,Operation 0001,Resource 6584,Y,0.0019
2671,Principal 0010,Operation 0009,Resource 10288,N,0.0006
2672,Principal 0067,Operation 0004,Resource 9432,Y,0.0022
2673,Principal 0119,Operation 0003,Resource 12303,N,0.0006
2674,Principal 0060,Operation 0006,Resource 13715,N,0.0006
2675,Principal 0031,Operation 0010,Resource 10903,N,0.0003
2676,Principal 0097,Operation 0006,Resource 13605,N,0.0003
2677,Principal 0078,Operation 0005,Resource 12756,N,0.0003
2678,Principal 0102,Operation 0007,Resource 2177,N,0.0025
2679,Principal 0082,Operation 0009,Resource 5259,Y,0.0028
2680,Principal 0028,Operation 0013,Resource 0510,N,0.0009
2681,Principal 0053,Operation 0014,Resource 6302,N,0.0009
2682,Principal 0065,Operation 0011,Resource 11969,N,0.0003
2683,Principal 0050,Operation 0002,Resource 4728,Y,0.0025
2684,Principal 0014,Operation 0004,Resource 10143,N,0.0006
2685,Principal 0072,Operation 0006,Resource 3506,Y,0.0025
2686,Principal 0141,Operation 0004,Resource 7381,N,0.0028
2687,Principal 0035,Operation 0006,Resource 3116,Y,0.0022
2688,Principal 0075,Operation 0008,Resource 10775,N,0.0009
2689,Principal 0088,Operation 0006,Resource 2469,Y,0.0028
2690,Principal 0081,Operation 0013,Resource 9849,N,0.0009
2691,Principal 0042,Operation 0009,Resource 4095,Y,0.0019
2692,Principal 0118,Operation 0001,Resource 6386,N,0.0028
2693,Principal 0074,Operation 0011,Resource 14207,N,0.0006
2694,Principal 0139,Operation 0005,Resource 3624,N,0.0032
2695,Principal 0089,Operation 0007,Resource 1089,Y,0.0028
2696,Principal 0026,Operation 0003,Resource 0077,Y,0.0019
2697,Principal 0136,Operation 0009,Resource 6010,N,0.0035
2698,Principal 0128,Operation 0014,Resource 7418,N,0.0009
2699,Principal 0124,Operation 0012,Resource 5954,N,0.0009
2700,Principal 0105,Operation 0012,Resource 5548,N,0.0009
2701,Principal 0095,Operation 0012,Resource 3374,N,0.0009
2702,Principal 0099,Operation 0012,Resource 9265,N,0.0009
2703,Principal 0061,Operation 0010,Resource 5688,N,0.0009
2704,Principal 0121,Operation 0007,Resource 6718,N,0.0028
2705,Principal 0082,Operation 0005,Resource 1083,Y,0.0032
2706,Principal 0144,Operation 0013,Resource 1651,N,0.0012
2707,Principal 0097,Operation 0006,Resource 2796,Y,0.0025
2708,Principal 0024,Operation 0009,Resource 4350,Y,0.0019
2709,Principal 0039,Operation 0006,Resource 9862,Y,0.0019
2710,Principal 0116,Operation 0014,Resource 2911,N,0.0012
2711,Principal 0005,Operation 0012,Resource 13837,N,0.0006
2712,Principal 0087,Operation 0005,Resource 7950,Y,0.0028
2713,Principal 0003,Operation 0014,Resource 9270,N,0.0012
2714,Principal 0068,Operation 0011,Resource 7501,N,0.0009
2715,Principal 0094,Operation 0002,Resource 2347,Y,0.0022
2716,Principal 0142,Operation 0005,Resource 9824,N,0.0032
2717,Principal 0063,Operation 0013,Resource 14154,N,0.0006
2718,Principal 0043,Operation 0001,Resource 6480,Y,0.0025
2719,Principal 0028,Operation 0007,Resource 2401,Y,0.0019
2720,Principal 0140,Operation 0006,Resource 5906,N,0.0028
2721,Principal 0144,Operation 0009,Resource 11038,N,0.0003
2722,Principal 0028,Operation 0011,Resource 9845,N,0.0009
2723,Principal 0079,Operation 0014,Resource 0067,N,0.0009
2724,Principal 0081,Operation 0014,Resource 14626,N,0.0006
2725,Principal 0074,Operation 0003,Resource 9650,Y,0.0022
2726,Principal 0103,Operation 0008,Resource 7890,N,0.0025
2727,Principal 0020,Operation 0005,Resource 1592,Y,0.0016
2728,Principal 0001,Operation 0005,Resource 1499,Y,0.0019
2729,Principal 0038,Operation 0011,Resource 11047,N,0.0009
2730,Principal 0074,Operation 0006,Resource 12327,N,0.0006
2731,Principal 0056,Operation 0002,Resource 7959,Y,0.0022
2732,Principal 0034,Operation 0007,Resource 2192,Y,0.0019
2733,Principal 0114,Operation 0007,Resource 4862,N,0.0025
2734,Principal 0075,Operation 0006,Resource 5189,Y,0.0025
2735,Principal 0097,Operation 0013,Resource 13658,N,0.0006
2736,Principal 0145,Operation 0012,Resource 12976,N,0.0006
2737,Principal 0118,Operation 0007,Resource 14102,N,0.0006
2738,Principal 0095,Operation 0012,Resource 1492,N,0.0009
2739,Principal 0043,Operation 0014,Resource 4031,N,0.0009
2740,Principal 0095,Operation 0014,Resource 0562,N,0.0012
2741,Principal 0138,Operation 0001,Resource 8608,N,0.0022
2742,Principal 0028,Operation 0003,Resource 13017,N,0.0006
2743,Principal 0067,Operation 0004,Resource 10442,N,0.0003
2744,Principal 0075,Operation 0013,Resource 1395,N,0.0012
2745,Principal 0031,Operation 0009,Resource 13137,N,0.0006
2746,Principal 0114,Operation 0005,Resource 7137,N,0.0028
2747,Principal 0029,Operation 0004,Resource 14203,N,0.0006
2748,Principal 0130,Operation 0010,Resource 13448,N,0.0006
2749,Principal 0132,Operation 0011,Resource 4204,N,0.0012
2750,Principal 0065,Operation 0014,Resource 8057,N,0.0009
2751,Principal 0131,Operation 0002,Resource 7589,N,0.0025
2752,Principal 0043,Operation 0009,Resource 5887,Y,0.0019
2753,Principal 0116,Operation 0007,Resource 10622,N,0.0003
2754,Principal 0007,Operation 0008,Resource 7908,Y,0.0019
2755,Principal 0026,Operation 0005,Resource 8627,Y,0.0022
2756,Principal 0127,Operation 0007,Resource 2521,N,0.0025
2757,Principal 0034,Operation 0008,Resource 9083,Y,0.0025
2758,Principal 0119,Operation 0007,Resource 9792,N,0.0025
2759,Principal 0014,Operation 0001,Resource 4996,Y,0.0019
2760,Principal 0101,Operation 0005,Resource 6542,N,0.0025
2761,Principal 0088,Operation 0001,Resource 4965,Y,0.0032
2762,Principal 0024,Operation 0009,Resource 11908,N,0.0006
2763,Principal 0088,Operation 0013,Resource 0799,N,0.0009
2764,Principal 0073,Operation 0014,Resource 13262,N,0.0003
2765,Principal 0115,Operation 0003,Resource 11368,N,0.0006
2766,Principal 0063,Operation 0010,Resource 6156,N,0.0012
2767,Principal 0048,Operation 0001,Resource 4559,Y,0.0019
2768,Principal 0017,Operation 0003,Resource 6140,Y,0.0019
2769,Principal 0139,Operation 0002,Resource 10223,N,0.0006
2770,Principal 0128,Operation 0003,Resource 7975,N,0.0028
2771,Principal 0009,Operation 0002,Resource 2505,Y,0.0019
2772,Principal 0041,Operation 0007,Resource 7660,Y,0.0022
2773,Principal 0030,Operation 0001,Resource 10075,N,0.0006
2774,Principal 0117,Operation 0004,Resource 7753,N,0.0025
2775,Principal 0018,Operation 0011,Resource 8087,N,0.0009
2776,Principal 0108,Operation 0001,Resource 4499,N,0.0028
2777,Principal 0134,Operation 0010,Resource 5191,N,0.0009
2778,Principal 0138,Operation 0005,Resource 3998,N,0.0025
2779,Principal 0020,Operation 0007,Resource 12086,N,0.0003
2780,Principal 0138,Operation 0004,Resource 8029,N,0.0025
2781,Principal 0017,Operation 0011,Resource 10787,N,0.0006
2782,Principal 0078,Operation 0006,Resource 13403,N,0.0006
2783,Principal 0107,Operation 0007,Resource 10374,N,0.0003
2784,Principal 0037,Operation 0004,Resource 10389,N,0.0006
2785,Principal 0111,Operation 0008,Resource 11614,N,0.0003
2786,Principal 0118,Operation 0014,Resource 7009,N,0.0012
2787,Principal 0130,Operation 0003,Resource 0890,N,0.0025
2788,Principal 0057,Operation 0014,Resource 7879,N,0.0012
2789,Principal 0028,Operation 0002,Resource 11081,N,0.0006
2790,Principal 0135,Operation 0002,Resource 14694,N,0.0006
2791,Principal 0106,Operation 0004,Resource 11736,N,0.0006
2792,Principal 0021,Operation 0010,Resource 7894,N,0.0012
2793,Principal 0119,Operation 0009,Resource 4746,N,0.0028
2794,Principal 0097,Operation 0001,Resource 7943,Y,0.0028
2795,Principal 0091,Operation 0010,Resource 6711,N,0.0009
2796,Principal 0098,Operation 0003,Resource 12235,N,0.0006
2797,Principal 0074,Operation 0005,Resource 7171,Y,0.0025
2798,Principal 0051,Operation 0001,Resource 0259,Y,0.0019
2799,Principal 0071,Operation 0011,Resource 11636,N,0.0003
2800,Principal 0029,Operation 0005,Resource 4308,Y,0.0019
2801,Principal 0024,Operation 0012,Resource 5340,N,0.0009
2802,Principal 0107,Operation 0008,Resource 14233,N,0.0006
2803,Principal 0136,Operation 0009,Resource 13070,N,0.0006
2804,Principal 0037,Operation 0014,Resource 6061,N,0.0012
2805,Principal 0023,Operation 0004,Resource 3091,Y,0.0022
2806,Principal 0079,Operation 0011,Resource 4657,N,0.0012
2807,Principal 0012,Operation 0008,Resource 14291,N,0.0003
2808,Principal 0138,Operation 0006,Resource 11918,N,0.0006
2809,Principal 0075,Operation 0006,Resource 3347,Y,0.0025
2810,Principal 0115,Operation 0010,Resource 14071,N,0.0006
2811,Principal 0112,Operation 0009,Resource 3861,N,0.0028
2812,Principal 0005,Operation 0007,Resource 2811,Y,0.0016
2813,Principal 0026,Operation 0013,Resource 1582,N,0.0019
2814,Principal 0075,Operation 0011,Resource 8725,N,0.0009
2815,Principal 0141,Operation 0004,Resource 5338,N,0.0032
2816,Principal 0012,Operation 0003,Resource 12403,N,0.0006
2817,Principal 0121,Operation 0014,Resource 14362,N,0.0006
2818,Principal 0070,Operation 0002,Resource 12056,N,0.0003
2819,Principal 0050,Operation 0004,Resource 6128,Y,0.0025
2820,Principal 0084,Operation 0003,Resource 2638,Y,0.0028
2821,Principal 0109,Operation 0003,Resource 14128,N,0.0003
2822,Principal 0140,Operation 0007,Resource 5782,N,0.0032
2823,Principal 0022,Operation 0002,Resource 11006,N,0.0006
2824,Principal 0003,Operation 0005,Resource 13154,N,0.0003
2825,Principal 0031,Operation 0009,Resource 11833,N,0.0003
2826,Principal 0056,Operation 0014,Resource 2461,N,0.0012
2827,Principal 0066,Operation 0006,Resource 2683,Y,0.0028
2828,Principal 0060,Operation 0014,Resource 10713,N,0.0006
2829,Principal 0147,Operation 0004,Resource 7317,N,0.0032
2830,Principal 0068,Operation 0010,Resource 3885,N,0.0012
2831,Principal 0117,Operation 0009,Resource 10288,N,0.0006
2832,Principal 0139,Operation 0011,Resource 8975,N,0.0009
2833,Principal 0096,Operation 0001,Resource 11200,N,0.0006
2834,Principal 0145,Operation 0013,Resource 0989,N,0.0012
2835,Principal 0014,Operation 0012,Resource 8848,N,0.0009
2836,Principal 0012,Operation 0004,Resource 8050,Y,0.0019
2837,Principal 0003,Operation 0014,Resource 3797,N,0.0012
2838,Principal 0037,Operation 0002,Resource 11745,N,0.0006
2839,Principal 0149,Operation 0005,Resource 2863,N,0.0032
2840,Principal 0034,Operation 0014,Resource 3184,N,0.0012
2841,Principal 0134,Operation 0010,Resource 6403,N,0.0016
2842,Principal 0071,Operation 0004,Resource 11163,N,0.0003
2843,Principal 0029,Operation 0004,Resource 12100,N,0.0003
2844,Principal 0029,Operation 0011,Resource 14515,N,0.0006
2845,Principal 0063,Operation 0007,Resource 7501,Y,0.0019
2846,Principal 0017,Operation 0005,Resource 2425,Y,0.0022
2847,Principal 0019,Operation 0013,Resource 0376,N,0.0009
2848,Principal 0142,Operation 0007,Resource 10972,N,0.0003
2849,Principal 0001,Operation 0008,Resource 7339,Y,0.0016
2850,Principal 0135,Operation 0014,Resource 6646,N,0.0012
2851,Principal 0061,Operation 0006,Resource 0874,Y,0.0028
2852,Principal 0080,Operation 0002,Resource 3516,Y,0.0028
2853,Principal 0096,Operation 0009,Resource 8290,Y,0.0025
2854,Principal 0127,Operation 0013,Resource 14770,N,0.0003
2855,Principal 0109,Operation 0012,Resource 3479,N,0.0012
2856,Principal 0043,Operation 0012,Resource 9818,N,0.0009
2857,Principal 0043,Operation 0013,Resource 0399,N,0.0012
2858,Principal 0005,Operation 0002,Resource 0791,Y,0.0019
2859,Principal 0028,Operation 0014,Resource 3814,N,0.0012
2860,Principal 0104,Operation 0007,Resource 10581,N,0.0006
2861,Principal 0038,Operation 0005,Resource 5145,Y,0.0025
2862,Principal 0055,Operation 0011,Resource 4790,N,0.0012
2863,Principal 0136,Operation 0013,Resource 5932,N,0.0009
2864,Principal 0040,Operation 0007,Resource 10271,N,0.0003
2865,Principal 0091,Operation 0004,Resource 0160,Y,0.0028
2866,Principal 0007,Operation 0004,Resource 9217,Y,0.0016
2867,Principal 0075,Operation 0011,Resource 10610,N,0.0003
2868,Principal 0125,Operation 0009,Resource 0727,N,0.0032
2869,Principal 0063,Operation 0006,Resource 4631,Y,0.0022
2870,Principal 0001,Operation 0005,Resource 1894,Y,0.0016
2871,Principal 0147,Operation 0014,Resource 2243,N,0.0006
2872,Principal 0127,Operation 0009,Resource 9018,N,0.0022
2873,Principal 0096,Operation 0006,Resource 0620,Y,0.0022
2874,Principal 0136,Operation 0006,Resource 14163,N,0.0003
2875,Principal 0039,Operation 0001,Resource 6154,Y,0.0019
2876,Principal 0051,Operation 0006,Resource 12370,N,0.0003
2877,Principal 0007,Operation 0003,Resource 10880,N,0.0006
